year,class_id,class_hh,class_m_edu,class_lag_mean,class_size,grade,school_hh,school_m_edu,class_mean,id_teacher,res_lag1,res_lag2,res_lag3,res_lag4,res_lag5,res_lag6,weight1,weight2,weight3,weight4,weight5,weight6
2000,4801,11617.359,15.076923,,26,3,12113.517,16.427338,,1,,,,,,,,,,,,
2001,7,11030.82,17.285715,,28,3,11918.756,16.441826,,1,,,,,,,54,,,,,
2002,2413,12431.798,16.758621,,29,3,12367.32,16.351471,,1,,,,,,,57,55,,,,
2003,2611,12951.89,16.965517,,29,3,11994.397,16.405563,,1,,,,,,,58,57,55,,,
2004,5017,10853.584,17.923077,,26,3,11940.15,16.512445,,1,,,,,,,55,55,54,52,,
2005,223,11431.938,17.777779,,27,3,12197.351,16.630117,,1,,,,,,,53,56,56,55,53,
2006,2629,12545.531,16.03125,,32,3,12211.404,16.765306,,1,,,,,,,59,58,61,61,60,58
2007,2635,13430.816,16.428572,,28,3,11844.426,16.682997,,1,,,,,,,60,55,54,57,57,56
2000,7201,13025.33,15.28,,25,3,12113.517,16.427338,,2,,,,,,,,,,,,
2001,4807,12368.111,16.148148,,27,3,11918.756,16.441826,,2,,,,,,,52,,,,,
2002,4813,12437.339,15.310345,,29,3,12367.32,16.351471,,2,,,,,,,56,54,,,,
2003,4869,11533.831,18.387096,-.20681043,31,5,12002.676,16.555719,-2.7040057,2,,,,,,,60,58,56,,,
2004,75,12559.479,16.516129,.054507978,31,5,12295.947,16.481752,-2.6920342,2,-2.7040057,,,,,,62,60,58,56,,
2005,81,12798.152,17.535715,-.12892592,28,5,12131.959,16.446377,-2.7329531,2,-2.6920342,-2.7040057,,,,,59,59,57,55,53,
2006,87,12575.441,16.793104,-.021879237,29,5,11986.325,16.481857,-2.6474543,2,-2.7329531,-2.6920342,-2.7040057,,,,57,60,60,58,56,54
2007,93,13296.284,15.678572,.094665401,28,5,12213.881,16.442364,-2.6406035,2,-2.6474543,-2.7329531,-2.6920342,-2.7040057,,,57,56,59,59,57,55
2000,2401,11976.58,15.962963,,27,3,12113.517,16.427338,,3,,,,,,,,,,,,
2001,7207,11021.131,16.466667,,30,3,11918.756,16.441826,,3,,,,,,,57,,,,,
2002,7213,12379.601,16.233334,,30,3,12367.32,16.351471,,3,,,,,,,60,57,,,,
2003,2515,11170.47,14.576923,,26,3,11819.21,16.057352,,3,,,,,,,56,56,53,,,
2004,121,11461.843,15.258064,,31,3,12391.303,16.02511,,3,,,,,,,57,61,61,58,,
2005,127,11539.939,16.73913,,23,3,11854.614,16.287834,,3,,,,,,,54,49,53,53,50,
2006,4933,11735.653,14.875,,32,3,12052.013,16.139465,,3,,,,,,,55,63,58,62,62,59
2007,4939,12344.17,15.615385,,26,3,11936.362,16.256598,,3,,,,,,,58,49,57,52,56,56
2000,1,11007.074,16.125,,32,3,12113.517,16.427338,,4,,,,,,,,,,,,
2001,2407,11343.586,16.384615,,26,3,11918.756,16.441826,,4,,,,,,,58,,,,,
2002,13,11871.813,16.129032,,31,3,12367.32,16.351471,,4,,,,,,,57,63,,,,
2003,4871,12079.89,16.483871,-.20017353,31,7,12002.676,16.555719,-2.6587162,4,,,,,,,62,57,63,,,
2004,77,12397.897,15.571428,-.040055897,28,7,12295.947,16.481752,-2.6005974,4,-2.6587162,,,,,,59,59,54,60,,
2005,4883,10988.109,16.74074,.0012299219,27,7,12131.959,16.446377,-2.6594882,4,-2.6005974,-2.6587162,,,,,55,58,58,53,59,
2006,2489,11074.385,17.827587,-.10608105,29,7,11986.325,16.481857,-2.64956,4,-2.6594882,-2.6005974,-2.6587162,,,,56,57,60,60,55,61
2007,4895,12945.272,16.129032,.20279832,31,7,12213.881,16.442364,-2.6020477,4,-2.64956,-2.6594882,-2.6005974,-2.6587162,,,60,58,59,62,62,57
2000,4802,11837.15,17.233334,,30,4,12113.517,16.427338,,5,,,,,,,,,,,,
2001,2408,12622.38,15.34375,-.2152418,32,4,11918.756,16.441826,-2.4939427,5,,,,,,,62,,,,,
2002,7214,11853.789,16.703703,-.16390559,27,4,12367.32,16.351471,-2.5578549,5,-2.4939427,,,,,,59,57,,,,
2003,7270,10537.486,15.586206,-.26403281,29,6,12002.676,16.555719,-2.6932037,5,-2.5578549,-2.4939427,,,,,56,61,59,,,
2004,7276,12053.267,17.689655,-.30494487,29,6,12295.947,16.481752,-2.6620874,5,-2.6932037,-2.5578549,-2.4939427,,,,58,56,61,59,,
